ts_local,seq,symbol,event_type,source,side,quote_slot,price_tick,qty_lots,order_id,fill_source,details
0.5,0,BTCUSDT,market_record,exchangeInfo,,,,,,,"{""base_asset"": ""BTC"", ""quote_asset"": ""USDT"", ""record_type"": ""exchangeInfo"", ""step_size"": ""0.001"", ""tick_size"": ""0.1""}"
1.0,1,BTCUSDT,market_record,snapshot,,,,,,,"{""ask_levels"": 2, ""bid_levels"": 2, ""last_update_id"": 100, ""record_type"": ""snapshot""}"
2.0,2,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 2, ""bid_updates"": 2, ""final_update_id"": 100, ""first_update_id"": 95, ""prev_update_id"": 94, ""record_type"": ""depthUpdate""}"
2.0,3,BTCUSDT,decision,strategy,,,,,,,"{""diagnostics"": {""best_ask_tick"": 1002, ""best_bid_tick"": 1000, ""book_imbalance"": ""0"", ""half_spread_bps"": ""0.05"", ""half_spread_ticks"": ""1"", ""inventory_qty"": ""0.000"", ""mid_price"": ""100.1"", ""mid_ticks"": ""1001"", ""profile"": ""baseline"", ""recent_trade_imbalance"": ""0"", ""script_decision_count"": 1, ""size_lots"": 1, ""skew_ticks"": ""0.000"", ""spread_scale"": ""1"", ""top_of_book_imbalance"": ""0"", ""trade_imbalance"": ""0"", ""volatility"": ""0""}, ""inventory_qty"": ""0.000"", ""quote_count"": 2, ""quotes"": [{""price_tick"": 1000, ""qty_lots"": 3, ""quote_slot"": ""passive_bid"", ""refresh_key"": ""stress:passive_bid:v1"", ""side"": ""bid""}, {""price_tick"": 1004, ""qty_lots"": 2, ""quote_slot"": ""own_ask"", ""refresh_key"": ""stress:own_ask:v1"", ""side"": ""ask""}], ""strategy_profile"": ""baseline""}"
2.0,4,BTCUSDT,order_arrival_scheduled,engine,bid,passive_bid,1000,3,,,"{""arrival_ts"": 2.0, ""cancel_ack_ts"": null, ""order_latency_ms"": 0.0}"
2.0,5,BTCUSDT,order_arrival_scheduled,engine,ask,own_ask,1004,2,,,"{""arrival_ts"": 2.0, ""cancel_ack_ts"": null, ""order_latency_ms"": 0.0}"
2.0,6,BTCUSDT,order_arrival,engine,bid,passive_bid,1000,3,BTCUSDT-bid-2000000-3,,"{""immediate_fills"": 0, ""queue_ahead_lots_after_arrival"": 2, ""refresh_key"": ""stress:passive_bid:v1"", ""remaining_lots_after_arrival"": 3, ""resting_after_arrival"": true}"
2.0,7,BTCUSDT,order_arrival,engine,ask,own_ask,1004,2,BTCUSDT-ask-2000000-4,,"{""immediate_fills"": 0, ""queue_ahead_lots_after_arrival"": 0, ""refresh_key"": ""stress:own_ask:v1"", ""remaining_lots_after_arrival"": 2, ""resting_after_arrival"": true}"
2.2,8,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 0, ""bid_updates"": 1, ""final_update_id"": 101, ""first_update_id"": 101, ""prev_update_id"": 100, ""record_type"": ""depthUpdate""}"
2.2,9,BTCUSDT,queue_consumption,depth_update,bid,,1000,2,,,"{""modeled_lots"": 2, ""observed_lots"": 2, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 2, ""unmatched_lots"": 0}"
2.35,10,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""100.0"", ""qty"": ""0.001"", ""record_type"": ""aggTrade""}"
2.35,11,BTCUSDT,queue_consumption,agg_trade,bid,,1000,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 1, ""unmatched_lots"": 0}"
2.35,12,BTCUSDT,fill,fill_model,bid,,1000,1,BTCUSDT-bid-2000000-3,agg_trade,"{""book_ask_tick"": 1002, ""book_bid_tick"": 999, ""contract_multiplier"": ""1"", ""created_ts"": 2.0, ""fee"": ""0.0000"", ""fee_bps"": ""0"", ""fee_currency"": ""USDT"", ""maker"": true, ""markout_horizon"": 1.0, ""mid_at_fill"": ""100.05"", ""notional"": ""0.1000"", ""price"": ""100.0"", ""qty"": ""0.001"", ""queue_ahead_lots"": 0, ""regime"": ""normal_buy"", ""spread_capture"": ""0.05"", ""spread_capture_value"": ""0.00005"", ""time_in_book_ms"": 350.0000000000001}"
2.5,13,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 1, ""bid_updates"": 0, ""final_update_id"": 102, ""first_update_id"": 102, ""prev_update_id"": 101, ""record_type"": ""depthUpdate""}"
2.5,14,BTCUSDT,queue_consumption,depth_update,ask,,1002,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 1, ""unmatched_lots"": 0}"
2.55,15,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": false, ""price"": ""100.2"", ""qty"": ""0.001"", ""record_type"": ""aggTrade""}"
2.55,16,BTCUSDT,queue_consumption,agg_trade,ask,,1002,1,,,"{""modeled_lots"": 0, ""observed_lots"": 1, ""overlap_netted_lots"": 1, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 0, ""unmatched_lots"": 0}"
3.0,17,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 0, ""bid_updates"": 1, ""final_update_id"": 103, ""first_update_id"": 103, ""prev_update_id"": 102, ""record_type"": ""depthUpdate""}"
3.0,18,BTCUSDT,queue_consumption,depth_update,bid,,999,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 1, ""unmatched_lots"": 0}"
3.0,19,BTCUSDT,decision,strategy,,,,,,,"{""diagnostics"": {""best_ask_tick"": 1002, ""best_bid_tick"": 999, ""book_imbalance"": ""0.6"", ""half_spread_bps"": ""0.05"", ""half_spread_ticks"": ""1"", ""inventory_qty"": ""0.001"", ""mid_price"": ""100.05"", ""mid_ticks"": ""1000.5"", ""profile"": ""baseline"", ""recent_trade_imbalance"": ""0"", ""script_decision_count"": 2, ""size_lots"": 1, ""skew_ticks"": ""0.0000"", ""spread_scale"": ""1"", ""top_of_book_imbalance"": ""0.6"", ""trade_imbalance"": ""0"", ""volatility"": ""0.0004995004995004995004995004995""}, ""inventory_qty"": ""0.001"", ""quote_count"": 2, ""quotes"": [{""price_tick"": 1004, ""qty_lots"": 2, ""quote_slot"": ""own_ask"", ""refresh_key"": ""stress:own_ask:v1"", ""side"": ""ask""}, {""price_tick"": 1003, ""qty_lots"": 2, ""quote_slot"": ""cross_venue"", ""refresh_key"": ""stress:cross_venue:v1"", ""side"": ""bid""}], ""strategy_profile"": ""baseline""}"
3.0,20,BTCUSDT,cancel_requested,engine,bid,passive_bid,1000,2,BTCUSDT-bid-2000000-3,,"{""ack_ts"": 3.1, ""cancel_latency_ms"": 100.0, ""reason"": ""stale_slot""}"
3.0,21,BTCUSDT,order_arrival_scheduled,engine,bid,cross_venue,1003,2,,,"{""arrival_ts"": 3.0, ""cancel_ack_ts"": null, ""order_latency_ms"": 0.0}"
3.0,22,BTCUSDT,order_arrival,engine,bid,cross_venue,1003,2,BTCUSDT-bid-3000000-9,,"{""immediate_fills"": 2, ""queue_ahead_lots_after_arrival"": 0, ""refresh_key"": ""stress:cross_venue:v1"", ""remaining_lots_after_arrival"": 0, ""resting_after_arrival"": false}"
3.0,23,BTCUSDT,fill,fill_model,bid,,1002,1,BTCUSDT-bid-3000000-9,taker_order,"{""book_ask_tick"": 1002, ""book_bid_tick"": 999, ""contract_multiplier"": ""1"", ""created_ts"": 3.0, ""fee"": ""0.0000"", ""fee_bps"": ""0"", ""fee_currency"": ""USDT"", ""maker"": false, ""markout_horizon"": 1.0, ""mid_at_fill"": ""100.05"", ""notional"": ""0.1002"", ""price"": ""100.2"", ""qty"": ""0.001"", ""queue_ahead_lots"": 0, ""regime"": ""normal_buy"", ""spread_capture"": ""-0.15"", ""spread_capture_value"": ""-0.00015"", ""time_in_book_ms"": 0.0}"
3.0,24,BTCUSDT,fill,fill_model,bid,,1003,1,BTCUSDT-bid-3000000-9,taker_order,"{""book_ask_tick"": 1002, ""book_bid_tick"": 999, ""contract_multiplier"": ""1"", ""created_ts"": 3.0, ""fee"": ""0.0000"", ""fee_bps"": ""0"", ""fee_currency"": ""USDT"", ""maker"": false, ""markout_horizon"": 1.0, ""mid_at_fill"": ""100.05"", ""notional"": ""0.1003"", ""price"": ""100.3"", ""qty"": ""0.001"", ""queue_ahead_lots"": 0, ""regime"": ""normal_buy"", ""spread_capture"": ""-0.25"", ""spread_capture_value"": ""-0.00025"", ""time_in_book_ms"": 0.0}"
3.05,25,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""100.0"", ""qty"": ""0.002"", ""record_type"": ""aggTrade""}"
3.05,26,BTCUSDT,queue_consumption,agg_trade,bid,,1000,2,,,"{""modeled_lots"": 2, ""observed_lots"": 2, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 2, ""unmatched_lots"": 0}"
3.05,27,BTCUSDT,fill,fill_model,bid,,1000,2,BTCUSDT-bid-2000000-3,agg_trade,"{""book_ask_tick"": 1002, ""book_bid_tick"": 999, ""contract_multiplier"": ""1"", ""created_ts"": 2.0, ""fee"": ""0.0000"", ""fee_bps"": ""0"", ""fee_currency"": ""USDT"", ""maker"": true, ""markout_horizon"": 1.0, ""mid_at_fill"": ""100.05"", ""notional"": ""0.2000"", ""price"": ""100.0"", ""qty"": ""0.002"", ""queue_ahead_lots"": 0, ""regime"": ""normal_buy"", ""spread_capture"": ""0.05"", ""spread_capture_value"": ""0.00010"", ""time_in_book_ms"": 1049.9999999999998}"
3.1,28,BTCUSDT,cancel_ack,engine,,,,,BTCUSDT-bid-2000000-3,,{}
3.4,29,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 3, ""bid_updates"": 2, ""final_update_id"": 104, ""first_update_id"": 104, ""prev_update_id"": 103, ""record_type"": ""depthUpdate""}"
3.4,30,BTCUSDT,queue_consumption,depth_update,bid,,999,4,,,"{""modeled_lots"": 4, ""observed_lots"": 4, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 4, ""unmatched_lots"": 0}"
3.4,31,BTCUSDT,queue_consumption,depth_update,ask,,1002,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 0, ""unmatched_lots"": 1}"
3.4,32,BTCUSDT,queue_consumption,depth_update,ask,,1003,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 0, ""unmatched_lots"": 1}"
3.4,33,BTCUSDT,markout,metrics,bid,,1000,1,BTCUSDT-bid-2000000-3,agg_trade,"{""adverse"": true, ""contract_multiplier"": ""1"", ""deadline_ts"": 3.35, ""fill_mid"": ""100.05"", ""fill_price"": ""100.0"", ""fill_ts_local"": 2.35, ""horizon"": 1.0, ""markout"": ""-0.1"", ""mid_after"": ""99.9"", ""qty"": ""0.001"", ""regime"": ""normal_buy""}"
4.0,34,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 2, ""bid_updates"": 1, ""final_update_id"": 105, ""first_update_id"": 105, ""prev_update_id"": 104, ""record_type"": ""depthUpdate""}"
4.0,35,BTCUSDT,queue_consumption,depth_update,ask,,1000,3,,,"{""modeled_lots"": 3, ""observed_lots"": 3, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 3, ""unmatched_lots"": 0}"
4.0,36,BTCUSDT,decision,strategy,,,,,,,"{""diagnostics"": {""best_ask_tick"": 1004, ""best_bid_tick"": 1000, ""book_imbalance"": ""0"", ""half_spread_bps"": ""0.05"", ""half_spread_ticks"": ""1"", ""inventory_qty"": ""0.005"", ""mid_price"": ""100.2"", ""mid_ticks"": ""1002"", ""profile"": ""baseline"", ""recent_trade_imbalance"": ""-0.5"", ""script_decision_count"": 3, ""size_lots"": 1, ""skew_ticks"": ""0.000"", ""spread_scale"": ""1"", ""top_of_book_imbalance"": ""0"", ""trade_imbalance"": ""-0.5"", ""volatility"": ""0.000999375437156546601823963143""}, ""inventory_qty"": ""0.005"", ""quote_count"": 2, ""quotes"": [{""price_tick"": 1004, ""qty_lots"": 2, ""quote_slot"": ""own_ask"", ""refresh_key"": ""stress:own_ask:v1"", ""side"": ""ask""}, {""price_tick"": 1005, ""qty_lots"": 1, ""quote_slot"": ""cross_own"", ""refresh_key"": ""stress:cross_own:v1"", ""side"": ""bid""}], ""strategy_profile"": ""baseline""}"
