step,spot_before,spot_after_fill_move,contract,option_type,strike,expiry_days,customer_side,mm_side,qty_contracts,contract_size,fair_value,bid,ask,fill_price,toxic_flow,markout_horizon_steps,markout_horizon_label,signed_markout_preview,markout_reference_step,markout_reference_spot,markout_reference_fair_value,effective_markout_horizon_steps,effective_markout_horizon_label,signed_markout,portfolio_delta_before,portfolio_delta_after_trade,hedge_qty,hedge_cost,portfolio_delta_after_hedge,portfolio_vega_after_hedge,option_position_before,option_position_after,running_inventory_contracts,spread_capture_pnl,reservation_price,delta_reservation_component,vega_reservation_component,half_spread,quote_width,base_half_spread,vol_half_spread_component,gamma_half_spread_component,implied_vol,realized_vol,option_delta,option_gamma,option_vega,comment_flag
1,100.0,101.369974,CALL_95.00_14D,call,95.0,14.0,buy,sell,1,100,5.674571,5.488571,5.860571,5.860571,True,1,1-step,-97.62323,1,101.369974,6.836804,1,1-step,-97.623279,0.0,-80.688884,0.0,0.0,-80.688884,-646.009879,0,-1,1,18.6,0.0,0.0,0.0,0.186,0.372,0.09,0.096,0.0,0.260371,0.24,0.806889,0.04466,6.460099,picked off
2,101.369974,101.414808,PUT_105.00_14D,put,105.0,13.987179,buy,sell,1,100,4.60986,4.477958,4.851024,4.851024,False,1,1-step,27.385504,2,101.414808,4.577169,1,1-step,27.385481,-85.884837,-13.860069,0.0,0.0,-13.860069,-1338.111341,0,-1,2,24.116396,-0.054631,0.07423,-0.128861,0.186533,0.373066,0.09,0.096,0.000533,0.243895,0.24,-0.720248,0.057767,8.035853,sold rich
3,101.414808,100.057197,CALL_105.00_90D,call,105.0,89.974359,sell,buy,1,100,4.718919,5.072549,6.299415,5.072549,True,1,1-step,-96.935845,3,100.057197,4.103191,1,1-step,-96.935804,-14.273933,29.85239,0.0,0.0,29.85239,1053.762997,0,1,3,-35.36306,-0.967063,-0.007558,-0.959505,0.613433,1.226866,0.09,0.522034,0.001399,0.258432,1.305085,0.441263,0.025198,23.912727,picked off
4,100.057197,100.049334,CALL_95.00_14D,call,95.0,13.961538,sell,buy,1,100,5.719323,4.637831,6.338963,4.637831,False,1,1-step,107.420855,4,100.049334,5.71204,1,1-step,107.42092,38.95237,119.915142,-120.0,0.720412,-0.084858,1645.710281,-1,0,2,108.1492,0.230926,0.037844,0.193082,0.850566,1.701131,0.09,0.759529,0.001036,0.260499,1.898823,0.809628,0.044285,6.398693,good buy; hedged long delta
5,100.049334,98.713077,PUT_110.00_14D,put,110.0,13.948718,buy,sell,2,100,10.060258,9.233452,10.654593,10.654593,True,1,1-step,-138.111533,5,98.713077,11.34515,1,1-step,-138.111401,-0.054223,190.33415,-190.0,1.140562,0.33415,1176.012989,0,-2,4,118.866855,0.116236,6.2e-05,0.116174,0.71057,1.421141,0.09,0.620199,0.000371,0.238187,1.550497,-0.951942,0.017822,2.352052,picked off; hedged long delta
6,98.713077,98.735849,PUT_105.00_14D,put,105.0,13.935897,buy,sell,3,100,6.689872,5.748946,7.2018,7.2018,False,1,1-step,159.569042,6,98.735849,6.669904,1,1-step,159.568887,7.102319,263.878312,-264.0,1.563615,-0.121688,-177.146616,-1,-4,7,153.578673,0.214498,-0.007295,0.221793,0.726427,1.452854,0.09,0.635845,0.000583,0.240771,1.589612,-0.85592,0.040605,5.268256,sold rich; hedged long delta
7,98.735849,97.21047,PUT_95.00_14D,put,95.0,13.923077,buy,sell,2,100,0.928568,0.304788,1.634377,1.634377,True,1,1-step,57.025322,7,97.21047,1.34925,1,1-step,57.025348,-0.438196,49.977108,0.0,0.0,49.977108,-1666.637135,0,-2,9,141.161735,-0.041014,0.000133,-0.041147,0.664795,1.329589,0.09,0.572373,0.002422,0.257312,1.430932,-0.252077,0.053447,7.407383,sold rich
8,97.21047,95.863624,PUT_90.00_14D,put,90.0,13.910256,buy,sell,4,100,0.31079,0.01,1.159866,1.159866,True,1,1-step,279.958738,8,95.863624,0.459969,1,1-step,279.958687,88.314916,129.89585,-130.0,0.758242,-0.10415,-2856.612694,0,-4,13,339.630528,-0.160363,-0.011017,-0.149346,0.688714,1.377427,0.09,0.595211,0.003502,0.267131,1.488028,-0.103952,0.029588,4.122913,sold rich; hedged long delta
9,95.863624,95.964674,CALL_105.00_90D,call,105.0,89.897436,sell,buy,1,100,2.541002,3.595835,4.956725,3.595835,False,1,1-step,-102.357611,9,95.964674,2.572259,1,1-step,-102.357551,46.534176,76.438008,0.0,0.0,76.438008,-949.878987,1,2,14,-105.483383,-1.735278,0.016699,-1.751977,0.680445,1.360889,0.09,0.585042,0.005402,0.252892,1.462605,0.299038,0.023977,19.878822,adverse selection
10,95.964674,94.53148,PUT_110.00_14D,put,110.0,13.884615,buy,sell,4,100,14.0485,13.493784,14.803679,14.803679,True,1,1-step,-268.15082,10,94.53148,15.474056,1,1-step,-268.150841,73.129797,470.081579,-470.0,2.706204,0.081579,-1115.401301,-2,-6,18,302.071551,-0.100232,-0.087087,-0.013145,0.654947,1.309894,0.09,0.559919,0.005028,0.23693,1.399798,-0.992379,0.003935,0.473088,picked off; hedged long delta
11,94.53148,94.589333,PUT_90.00_14D,put,90.0,13.871795,sell,buy,3,100,0.66863,0.272995,1.582987,0.272995,False,1,1-step,115.264731,11,94.589333,0.65721,1,1-step,115.26461,49.611352,-10.828835,0.0,0.0,-10.828835,548.848783,-4,-1,15,118.690613,-0.259361,-0.011994,-0.247367,0.654996,1.309993,0.09,0.559602,0.005395,0.259796,1.399004,-0.201467,0.048801,6.236587,good buy
12,94.589333,94.470191,CALL_90.00_14D,call,90.0,13.858974,buy,sell,4,100,5.246544,4.521907,5.790835,5.790835,False,1,1-step,256.851886,12,94.470191,5.148705,1,1-step,256.851942,-12.031473,-332.560367,333.0,1.889895,0.439633,-1925.898366,0,-4,19,217.716629,0.090172,-0.011569,0.101742,0.634464,1.268928,0.09,0.541253,0.003211,0.259941,1.353133,0.801322,0.04836,6.185457,sold rich; hedged short delta
13,94.470191,94.372707,CALL_100.00_14D,call,100.0,13.846154,buy,sell,2,100,0.452609,0.156577,1.388286,1.388286,False,1,1-step,190.532631,13,94.372707,0.435622,1,1-step,190.532732,5.167942,-27.653906,0.0,0.0,-27.653906,-3047.946537,0,-2,21,187.135272,-0.319822,0.001018,-0.32084,0.615854,1.231708,0.09,0.519712,0.006142,0.24124,1.299279,0.164109,0.046305,5.47766,sold rich
