step,spot,stock_position,option_value,net_delta,net_gamma,net_vega,inventory_contracts,max_single_contract_position,realized_vol,cash,realized_pnl,unrealized_pnl,ending_pnl,gross_spread_captured,hedge_costs,trade_count,hedge_trade_count,toxic_fill_count,total_signed_markout
1,101.369974,0.0,-683.680373,-85.884837,-3.552009,-534.526063,1,1,0.24,586.057143,18.6,-116.22323,-97.62323,18.6,0.0,1,0,1,-97.623279
2,101.414808,0.0,-1145.247022,-14.273933,-9.324111,-1337.5097,2,1,1.305085,1071.159553,42.716396,-116.803865,-74.087469,42.716396,0.0,2,0,1,-70.237798
3,100.057197,0.0,-720.654926,38.95237,-6.909357,1005.840937,3,1,1.898823,563.90461,7.353335,-164.103651,-156.750316,7.353335,0.0,3,0,2,-167.173602
4,100.049334,-120.0,-149.649509,-0.054223,-2.4762,1646.423352,2,1,1.550497,12106.264721,114.782123,-164.086932,-49.304809,115.502535,0.720412,4,1,2,-59.752682
5,98.713077,-310.0,-2583.366492,7.102319,-3.883768,1403.330221,4,2,1.589612,33245.416042,232.508416,-171.512655,60.995761,234.36939,1.860974,5,2,3,-197.864083
6,98.735849,-574.0,-4577.030267,-0.438196,-16.145127,-185.160529,7,4,1.430932,61464.644828,384.523474,-171.28627,213.237204,387.948063,3.424589,6,3,3,-38.295196
7,97.21047,-574.0,-5739.078643,88.314916,-23.348365,-1207.447583,9,4,1.488028,61791.520226,525.685208,-272.053185,253.632024,529.109798,3.424589,7,3,4,18.730152
8,95.863624,-704.0,-6831.089943,46.534176,-36.01633,-2937.76123,13,4,1.462605,74892.069486,864.557494,-291.569242,572.988252,868.740326,4.182831,8,4,5,298.688839
9,95.964674,-704.0,-6498.505977,73.129797,-33.520482,-926.16606,14,4,1.399798,74532.485941,759.074111,-284.224306,474.849805,763.256942,4.182831,9,4,5,196.331288
10,94.53148,-1174.0,-13824.294024,49.611352,-35.964517,-1322.127365,18,6,1.399004,125554.647752,1058.439458,-308.043725,750.395733,1065.328493,6.889035,10,5,6,-71.819553
11,94.589333,-1174.0,-13556.340061,-12.031473,-21.404464,548.284568,15,6,1.353133,125472.749383,1177.130072,-308.597896,868.532176,1184.019106,6.889035,11,5,6,43.445057
12,94.470191,-841.0,-15753.704128,5.167942,-40.949491,-1952.414557,19,6,1.299279,96288.945574,1392.956806,-307.14622,1085.810586,1401.735735,8.77893,12,6,6,300.296999
13,94.372707,-841.0,-15921.924966,-22.825471,-50.222533,-3046.899332,21,6,1.252294,96566.602677,1580.092078,-302.861055,1277.231023,1588.871008,8.77893,13,6,6,490.829731
14,93.062804,-1005.0,-16489.317397,26.717124,-22.191103,186.918699,25,6,1.254953,111196.90595,1492.073106,-312.602522,1179.470585,1501.780664,9.707557,14,7,7,176.28534
15,91.781958,-1005.0,-18808.109358,139.375455,-29.688728,-4498.442612,27,6,1.249853,112192.157625,1589.765229,-446.585094,1143.180134,1599.472786,9.707557,15,7,8,183.509367
16,90.618251,-1216.0,-20638.051668,42.718301,-37.753176,-5485.188381,28,6,1.232449,132137.671155,1758.084418,-450.257845,1307.826573,1768.953935,10.869517,16,8,9,266.388717
17,90.842258,-1216.0,-20532.749318,76.877354,-44.840064,-6271.91172,29,6,1.228834,132518.265781,1956.923654,-435.593386,1521.330267,1967.79317,10.869517,17,8,9,474.650767
18,92.052089,-911.0,-15779.01819,-41.242887,-31.691744,-4742.311448,33,6,1.345528,101159.125818,2004.256712,-483.601798,1520.654914,2016.788642,12.53193,18,9,10,68.491972
19,90.596497,-911.0,-16875.624717,71.621121,-21.578874,-3760.771789,36,7,1.357519,100733.154878,1870.205949,-546.085003,1324.120946,1882.737879,12.53193,19,9,11,-180.658456
20,89.259738,-1094.0,-17843.928443,12.973662,-13.505892,-2975.532401,34,7,1.355624,116775.44777,1817.393335,-536.02773,1281.365605,1830.920014,13.52668,20,10,12,-372.393266
21,88.189717,-1205.0,-20206.048779,17.471894,-18.127844,-3530.156192,33,7,1.335635,127835.137525,1891.347695,-530.867586,1360.480109,1905.468845,14.121149,21,11,13,-403.031781
22,88.165727,-1486.0,-23940.232002,0.679274,-24.84464,-5776.268946,36,7,1.314583,156745.667526,2321.403117,-530.237456,1791.165661,2337.011145,15.608028,22,12,13,22.278567
23,87.119964,-1720.0,-29766.217678,34.041769,-32.295604,-10034.921814,39,7,1.297114,182399.35773,3320.936411,-534.134769,2786.801642,3337.782286,16.845875,23,13,14,775.975864
24,87.150876,-1720.0,-29711.963526,33.041334,-32.316521,-10049.33158,39,7,1.281551,182399.35773,3320.936411,-533.049682,2787.886729,3337.782286,16.845875,23,13,14,775.975864
25,85.771438,-1952.0,-34993.235707,45.153048,-31.145406,-9244.497975,37,7,1.286909,205341.982352,3472.608812,-549.708776,2922.900036,3490.667827,18.059015,24,14,15,654.264475
