rank,registry_variant_id,scenario_id,diagnostic_score,strategy_profile,fill_model,order_latency_ms,cancel_latency_ms,fill_count,quote_fill_probability,fills_per_quote_request,fills_per_arrived_order,avg_spread_captured,adverse_fill_rate_1s,avg_markout_1s,markout_by_fill_source,inventory_stdev,max_drawdown,fill_from_top_rate,avg_queue_ahead_lots,queue_fill_count,max_queue_ahead_lots,resting_arrival_queue_samples,arrival_with_queue_ahead_count,avg_arrival_queue_ahead_lots,max_arrival_queue_ahead_lots,avg_fill_wait_ms,fill_source_counts,order_lifecycle_counts,self_trade_prevention_count,total_pnl,total_fees,kill_switch_triggered,kill_switch_reason,memory_bounded_by_tape_duration
1,46f80d1b6dba26bc,public_l2_latency:baseline:fill=depth:order_ms=0:cancel_ms=0,26.986765016141472,baseline,depth,0.0,0.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,113.13986778259277,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
2,605bc2a620b833dd,public_l2_latency:baseline:fill=depth:order_ms=10:cancel_ms=0,26.896765006604728,baseline,depth,10.0,0.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,103.13987731933594,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
3,ca2609059898412b,public_l2_latency:baseline:fill=depth:order_ms=0:cancel_ms=10,26.88676501614147,baseline,depth,0.0,10.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,113.13986778259277,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
4,dd8dd33ab06c31d9,public_l2_latency:baseline:fill=depth:order_ms=10:cancel_ms=10,26.79676500660473,baseline,depth,10.0,10.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,103.13987731933594,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
5,22add81bffe48273,public_l2_latency:baseline:fill=depth:order_ms=0:cancel_ms=50,26.486765016141472,baseline,depth,0.0,50.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,113.13986778259277,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
6,16c23fade222ebc4,public_l2_latency:baseline:fill=depth:order_ms=10:cancel_ms=50,26.396765006604728,baseline,depth,10.0,50.0,1,0.5,0.5,0.5,13.55,0.0,13.55,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 13.55, ""qty"": 0.001, ""samples"": 1}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.00038046430373919846,0.0,1.0,0.0,0,0,2,2,1.5,2,103.13987731933594,"{""agg_trade"": 0, ""depth_update"": 1, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.01355,0.0,False,,True
7,f2760be2a0061205,public_l2_latency:baseline:fill=trade:order_ms=0:cancel_ms=0,0.0,baseline,trade,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,,True
8,fec90191ffa6329c,public_l2_latency:baseline:fill=trade:order_ms=0:cancel_ms=10,-0.1,baseline,trade,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,,True
9,6334fc3edbee427b,public_l2_latency:baseline:fill=trade:order_ms=10:cancel_ms=0,-0.1,baseline,trade,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,,True
10,78f371d981aa5a81,public_l2_latency:baseline:fill=trade:order_ms=10:cancel_ms=10,-0.2,baseline,trade,10.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,,True
